id_rec,name,description,tips,preparation_time,execution_time,portions,fat,kcal,protein,carbs,id_food_group,id_diff,id_national
21,Porcini Mushroom Soup,"A rich and earthy soup made with porcini and assorted fresh mushrooms, infused with thyme.",Serve hot with crusty bread for a hearty meal.,20,40,4,0,0,0,0,10,2,24
22,Spaghetti with Pipis,"A delightful seafood pasta featuring fresh pipis (clams) tossed with spaghetti in a garlicky, tomato-based sauce.",Ensure pipis are fully cleaned to remove any sand before cooking.,15,25,4,0,0,0,0,8,2,16
23,Banh Mi,"A Vietnamese sandwich that includes a crispy baguette filled with pork, fresh vegetables, and vibrant condiments.",Toast the baguette lightly to add extra crunch.,20,10,4,0,0,0,0,7,2,31
24,Stuffed Pork Tenderloin,"Succulent pork tenderloin stuffed with feta, spinach, and sun-dried tomatoes, seasoned with fresh herbs.",Ensure the pork is evenly stuffed and secured to maintain shape during cooking.,30,60,6,0,0,0,0,7,4,36
25,Roast Beef with Caramelized Onion Gravy,Tender roast beef served with a rich and flavorful gravy made from caramelized onions and a hint of balsamic vinegar.,Rest the beef after roasting to ensure it retains its juices when sliced.,20,90,6,0,0,0,0,9,4,5
26,Miso-Maple Braised Leeks,"Leeks braised in a savory-sweet sauce made from miso and maple syrup, enriched with fresh garlic and ginger.",Serve as a side dish or incorporate into vegetarian main courses.,10,30,4,0,0,0,0,10,2,5
27,Apple Tarte Tatin,A delicious caramelized apple tart baked with puff pastry.,Serve warm with a scoop of vanilla ice cream.,15,45,8,0,0,0,0,10,1,24
28,Pan-Fried Halibut with Cockles and Peanuts,A pan-fried halibut dish with cockles and a peanut topping.,Garnish with chopped parsley and a squeeze of lemon.,10,20,4,0,0,0,0,8,2,16
29,Roast Chicken,"A perfectly roasted chicken with garlic, lemon, and thyme.",Let the chicken rest before carving for best flavor.,15,60,6,0,0,0,0,10,2,1
30,Beef Stroganoff,"A creamy dish with sautéed beef strips and mushrooms, served over noodles or rice.",Garnish with parsley and serve with mashed potatoes or noodles.,20,30,4,0,0,0,0,7,4,24
31,Shrimp Paella,"A traditional Spanish rice dish with shrimp, saffron, and mixed vegetables.",Use seafood stock for more flavor and add lemon wedges for garnish.,15,40,6,0,0,0,0,8,5,5
32,Vegetarian Chili,"A hearty chili made with a mix of beans, tomatoes, and spices.",Top with avocado slices and grated cheese for extra flavor.,15,30,4,0,0,0,0,10,2,29
33,Mushroom Risotto,"A creamy risotto cooked with mushrooms and vegetable broth, topped with Parmesan cheese.",Stir continuously for a creamy consistency.,15,30,4,0,0,0,0,9,2,31
34,Lamb Tagine,A slow-cooked Moroccan lamb stew with dried fruits and spices.,Serve with couscous or flatbread.,20,60,6,0,0,0,0,7,4,5
35,Chicken Alfredo,"A creamy pasta dish with chicken, fettuccine, and Parmesan cheese.",Top with parsley and a pinch of black pepper for extra flavor.,15,20,4,0,0,0,0,7,2,43
36,Fish Tacos,"Grilled white fish served in tortillas with fresh toppings like cabbage, avocado, and lime.",Squeeze some extra lime juice on top for an extra tangy flavor.,10,20,4,0,0,0,0,8,1,31
37,Stuffed Bell Peppers,"Bell peppers stuffed with ground beef, rice, and topped with melted cheese.",Use different colored peppers for a more vibrant presentation.,15,40,4,0,0,0,0,10,2,45
38,Eggplant Parmesan,"Breaded and fried eggplant layered with cheese and tomato sauce, then baked.",Serve with a side of pasta for a complete meal.,15,45,4,0,0,0,0,10,2,31
39,Butternut Squash Soup,A creamy soup made from roasted butternut squash and vegetable broth.,Garnish with a drizzle of cream and fresh thyme leaves.,15,30,4,0,0,0,0,10,1,5
40,Beef and Broccoli Stir Fry,A quick stir fry of beef strips and broccoli in a savory soy sauce.,Serve over steamed rice or noodles for a complete meal.,10,20,4,0,0,0,0,7,2,33
41,Lemon Bars,A tart and sweet dessert made with lemon curd on a buttery crust.,Dust with powdered sugar before serving for extra flavor.,15,45,8,0,0,0,0,10,2,46
42,Chicken Caesar Salad,"A classic Caesar salad with grilled chicken, Parmesan cheese, and croutons.",Drizzle Caesar dressing just before serving to keep the salad fresh.,10,20,4,0,0,0,0,10,1,41
43,Vegetarian Lasagna,"Layers of lasagna noodles, ricotta cheese, and spinach topped with mozzarella cheese.",Let the lasagna cool before slicing to ensure neat portions.,15,45,6,0,0,0,0,9,2,5
44,Shrimp Scampi,"Sautéed shrimp in garlic butter, with lemon and white wine.",Serve with fresh parsley and a wedge of lemon.,10,20,4,0,0,0,0,8,1,7
45,Beef Tacos,"A savory taco filled with seasoned ground beef, lettuce, and cheese.",Top with salsa and guacamole for extra flavor.,10,15,4,0,0,0,0,7,1,45
46,Pesto Pasta,"Pasta tossed with a fresh basil pesto sauce, topped with Parmesan cheese.",Garnish with cherry tomatoes for added color and flavor.,10,15,4,0,0,0,0,9,1,31
47,Salmon with Asparagus,Grilled salmon fillet served with roasted asparagus and lemon wedges.,Drizzle with olive oil before roasting for a crispier texture.,15,20,2,0,0,0,0,8,2,24
48,Egg Salad Sandwich,A sandwich filled with chopped eggs and mayonnaise served on toasted bread.,Add some lettuce for a fresh crunch.,10,15,4,0,0,0,0,6,1,70
49,Salmon Teriyaki,Salmon glazed with a sweet and savory teriyaki sauce.,Serve with steamed rice and garnish with sesame seeds.,10,20,4,0,0,0,0,8,2,5
50,Pumpkin Pie,A spiced pumpkin filling baked in a buttery crust.,Serve with a dollop of whipped cream for extra flavor.,15,45,8,0,0,0,0,10,2,32
51,Chicken Enchiladas,"Baked tortillas filled with chicken and cheese, topped with enchilada sauce.",Top with fresh cilantro before serving for extra flavor.,15,30,4,0,0,0,0,9,2,55
52,Egg Fried Rice,"Stir-fried rice with eggs and mixed vegetables, seasoned with soy sauce.",Add a touch of sesame oil at the end for extra aroma.,10,20,4,0,0,0,0,9,1,33
53,Pasta Primavera,A light pasta dish with fresh vegetables and Parmesan cheese.,Garnish with basil leaves and a drizzle of olive oil before serving.,10,20,4,0,0,0,0,9,1,31
